judul,narasi,label
Penutupan Sementara Masjid Al Jabbar Diperpanjang Sampai 1 Ramadan,"  Pemerintah Daerah Jawa Barat memperpanjang penutupan sementara Masjid Al Jabbar dari yang awalnya dilakukan mulai 27 Februari hingga 13 Maret 2023 menjadi sampai 1 Ramadan 1444 mendatang. Perpanjangan penutupan sementara disampaikan oleh Sekretaris Daerah Provinsi Jawa Barat Setiawan Wangsaatmaja. Ia mengatakan perpanjangan waktu dilakukan supaya penataan dan pemeliharaan yang dilakukan terhadap Masjid Al Jabbar bisa mencakup semua aspek. Aspek itu seperti perbaikan sejumlah kerusakan akibat tingginya animo jemaah yang datang, pemeliharaan taman tematik, kolam retensi, area luar dan dalam masjid. Pihaknya berharap penataan dan pemeliharaan yang menyeluruh itu bisa menciptakan kenyamanan beribadah dan menghadirkan pelayanan yang baik saat Ramadan nanti. ""Hampir semua aspek kita lakukan penataan, perbaikan, dan pemeliharaan. Perbaikan dan penataan Kawasan Al Jabbar terutama dilakukan agar pada saat Bulan Ramadan, jemaah bisa khusyuk beribadah tanpa gangguan keamanan dan ketertiban,"" katanya seperti dikutip dari Antara, Jumat (10/3). Atas perpanjangan penutupan sementara kawasan dan Masjid Raya Al Jabbar, Setiawan mengatakan pihaknya menyampaikan permohonan maaf dan meminta pengertian kepada masyarakat. ""Insya Allah setelah penataan dan pemeliharaan ini selesai, jamaah dapat kembali datang ke Al Jabbar dan beribadah dengan tertib, aman, dan nyaman, khususnya di bulan suci Ramadan 1444 Hijriah nanti,"" katanya. Masjid Al Jabbar terletak di kawasan Gedebage, Kota Bandung. Masjid ini dibangun di lahan seluas sekitar 25 hektare dan memiliki kapasitas sekitar 30 ribu orang. Kapasitas itu terbagi dengan rincian 10 ribu orang di area dalam (indoor) dan 20 ribu orang di area plaza. Mesjid ini diresmikan oleh Gubernur Jawa Barat Ridwan Kamil pada Jumat (30/12) lalu. Tapi beberapa waktu lalu Pemda Jawa Barat menutup sementara Masjid Al Jabbar untuk persiapan menyambut bulan Ramadan mulai Senin (27/2) hingga Senin (13/3). Hal itu disampaikan Ridwan Kamil melalui unggahan di media sosial Instagramnya, Jumat (24/2). ""Menyambut bulan suci Ramadan, Masjid Raya Al Jabbar akan ditutup sementara sesuai jadwal dari Senin 27 Februari-13 Maret, untuk penyempurnaan, perbaikan dan penataan ketertiban setelah 2 bulan dibuka dengan antusiasme jamaah yang luar biasa dan dinamika,"" ujar Emil. Emil menjelaskan penutupan dilakukan dengan berbagai pertimbangan, salah satunya agar masyarakat dapat beribadah dengan tenang, tertib, dan bersih di masjid tersebut saat bulan Ramadan.",Berita Valid
"Gempa M 4,4 Guncang Jailolo, Maluku Utara","  Gempa bumi bermagnitudo 4,4 mengguncang Jailolo, Maluku Utara, Sabtu (11/3) dini hari. Berdasarkan informasi yang disampaikan BMKG melalui akun Twitter mereka, gempa terjadi pada pukul 02.18 WIB. Gempa berlokasi di 1,18 Lintang Utara, 127,29 Bujur Timur. Pusat gempa berada di 12 km barat laut Jailolo, Maluku Utara dengan kedalaman 143 km. #Gempa Mag:4.4, 11-Mar-2023 02:18:39WIB, Lok:1.18LU, 127.29BT (23 km BaratLaut JAILOLO-MALUT), Kedlmn:143 Km #BMKG Disclaimer:Informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data. Selain di Maluku Utara, gempa juga mengguncang sejumlah daerah di Indonesia pada Sabtu dini hari. Salah satunya di Bima, NTB Gempa bermagnitudo 2,9. Gempa terjadi pada pukul 01.20.",Berita Valid
"KPK Sita Rp5,6 Miliar dari Eks Bupati Sidoarjo Tersangka Gratifikasi","  Komisi Pemberantasan Korupsi (KPK) menyita uang Rp5,6 miliar dari Bupati Sidoarjo periode 2010-2015 dan 2016-2021 Saiful Ilah terkait penyidikan perkara dugaan penerimaan gratifikasi. ""Tim penyidik telah melakukan penyitaan dalam bentuk uang tunai maupun barang diantaranya uang tunai dalam bentuk pecahan mata uang rupiah senilai Rp5,6 Miliar,"" ujar Kepala Bagian Pemberitaan KPK Ali Fikri dalam keterangannya, Jumat (10/3). Selain itu, KPK juga menyita uang tunai 64 ribu dolar AS, 10 buah tas merek TUMI, satu tas merek Louis Vuitton. Lalu, empat unit ponsel, antara lain iPhone 7 dengan memori 128 GB dan Apple iPhone model MT562ZP/A dengan memori 512 GB. Selain itu, tiga keping logam mulia dengan ukuran 50 gram dan 25 gram. Ali menjelaskan, penyidik KPK saat ini masih mengumpulkan alat bukti, termasuk untuk menelusuri berbagai penerimaan uang maupun barang lain oleh Saiful. Diberitakan, KPK memproses hukum Saiful terkait kasus dugaan penerimaan gratifikasi Wakil Ketua KPK Alexander Marwata mengatakan tim penyidik menahan Saiful terhitung mulai 7 Maret 2023 sampai dengan 26 Maret 2023 di Rutan KPK pada Gedung Merah Putih. Selama menjabat Bupati Sidoarjo, Saiful diduga banyak menerima pemberian gratifikasi dalam bentuk uang maupun barang yang seolah-olah diatasnamakan sebagai hadiah ulang tahun, uang lebaran, hingga fee atas penandatanganan sidang peralihan tanah gogol gilir. Perkara ini adalah pengembangan dari kasus penerimaan suap terkait pembangunan proyek infrastruktur di lingkungan Pemkab Sidoarjo. Kala itu, KPK memproses hukum tiga tersangka yakni Saiful serta Ibnu Gofur dan Totok Sumedi selaku pihak swasta. Sementara itu, Saiful telah membantah tudingan KPK tersebut. ""Enggak ada-enggak ada. Kalau memberi tadi aku dengar kalau ulang tahun, apa ya ada tetapi saya kan enggak mengerti,"" kata Saiful ketika hendak dibawa ke Rutan KPK. Saiful sebelumnya pernah ditetapkan sebagai tersangka suap terkait beberapa proyek infrastruktur di Dinas PUPR Kabupaten Sidoarjo. Saiful Ilah kemudian diadili dan divonis tiga tahun penjara. Saiful bebas dari Lapas Kelas I Surabaya bersama rekannya, yaitu Sangaji Sanajihitu dan Yudhi Tetrahastoto, pada 7 Januari 2022.",Berita Valid
Ketua RW Plumpang Bantah Ada Pipa Pertamina Melintang di Rumah Warga,"  Ketua RW 09 Kelurahan Rawa Badak Selatan, Koja, Jakarta Utara, Abdul Syakur, buka suara soal beredarnya foto pipa Pertamina diduga melintang di dalam rumah warga. Daerah tempat Abdul bermukim merupakan salah satu yang terdampak kebakaran Depo Pertamina Plumpang, Jakarta Utara, pada Jumat (3/3). Foto pipa itu diunggah oleh pegiat media sosial Denny Siregar dalam akun Twitter-nya. Ada tiga foto yang diunggah. Pertama, memperlihatkan tiga orang berseragam Pertamina. Foto dibubuhi tulisan 'saat pipa dibangun pada 2015 kondisi sekitar masih tanah kosong dan beberapa tahun kemudian pipa sudah melintang di dalam rumah'. Foto kedua memperlihatkan seseorang yang juga memakai seragam Pertamina diduga berada di sebuah warung. Di dalam warung itu terlihat ada pipa. ""Gila memang, kalau ada apa-apa yang disalahin pemerintah,"" tulis Denny dalam unggahannya.Saat dikonfirmasi, Abdul Syakur membantah foto tersebut ada di rumah warganya yang ada di wilayah RW 09. Ia menegaskan tidak ada jalur pipa Pertamina di rumah warga. ""Itu bukan wilayah kami. Di wilayah RW 09 tidak ada jalur pipa Pertamina, klir. Khususnya di RW 09 yang saat ini terdampak kebakaran secara langsung,"" kata Abdul kepada CNNIndonesia.com, Jumat (10/3). Ia pun mengaku tak tahu dimana lokasi foto itu diambil. ""Netizen itu kan tidak tahu kebenaran seperti apa, yang saat ini jadi korban di RW 09 tidak ada jalur Pertamina di sini, klir itu,"" ucap dia.",Berita Valid
Transaksi Janggal Rp300 Triliun di Kemenkeu Versi Mahfud MD,"  Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD mengungkap temuan transaksi janggal Rp300 triliun yang melibatkan 460 pegawai Kementerian Keuangan (Kemenkeu). Ia menyebut mayoritas transaksi terjadi di Direktorat Jenderal Pajak dan Bea Cukai. ""Saya sudah dapat laporan yang pagi tadi, terbaru malah ada pergerakan mencurigakan sebesar Rp300 triliun di lingkungan Kementerian Keuangan, yang sebagian besar ada di Direktorat Jenderal Pajak dan Bea Cukai,"" kata Mahfud di Universitas Gadjah Mada (UGM) Yogyakarta, Rabu (8/3). Menurutnya, temuan itu berdasarkan pada 160 laporan yang dilayangkan sepanjang 2009 hingga 2023. ""Ada 160 laporan lebih sejak itu. Itu tidak ada kemajuan informasinya,"" kata dia. Usai informasi itu diungkap, Menteri Keuangan Sri Mulyani mengaku tidak tahu-menahu soal transaksi janggal Rp300 triliun di kementerian yang dipimpinnya. Ani, sapaan akrabnya, mengatakan kantornya sudah menerima surat dari Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) terkait laporan tersebut pagi tadi. Hanya saja ia tidak menemukan angka Rp300 triliun seperti yang disampaikan Mahfud. ""Mengenai Rp300 triliun terus terang saya tidak lihat. Di dalam surat itu nggak ada angkanya. Jadi saya nggak tahu juga 300 triliun itu dari mana. Jadi aku nggak bisa komentar mengenai itu dulu,"" ujar Ani saat meninjau Kantor Pelayanan Pajak (KPP) Pratama Kota Solo, Kamis (9/3). Kepala PPATK Ivan Yustiavanda kemudian merespons pernyataan itu. Ia mengatakan PPATK sudah menyerahkan 200 berkas laporan terkait transaksi mencurigakan senilai Rp300 triliun ke Kemenkeu. ""Itu ada 200 berkas individual, diserahkan 200 kali sepanjang 2009-2023,"" kata Ivan saat dihubungi CNNIndonesia.com, Kamis. Ivan mengatakan tak merinci kapan mengirimkan laporan-laporan itu ke Kemenkeu. Ia hanya memastikan pihaknya telah menyampaikan laporan analisis ini bertahap. Lalu pada Jumat (10/3), jajaran petinggi Kemenkeu yang dipimpin Wamenkeu Suahasil Nazara menyambangi Mahfud di kantor Kemenko Polhukam, Jakarta. Dalam jumpa pers usai pertemuan itu, Mahfud menjelaskan transaksi janggal yang disorotnya itu bukan merupakan korupsi, tapi terkait tindak pidana pencucian uang (TPPU). ""Tidak benar kalau isu berkembang kalau di Kemenkeu ada korupsi Rp300 triliun. Bukan korupsi, pencucian uang,"" katanya. Menurutnya, pencucian uang lebih besar dari korupsi, tapi tidak melulu mengambil uang negara. Mahfud pun mengatakan temuan itu akan diselidiki. ""Lebih besar dari korupsi, tapi tidak ngambil uang negara. Mungkin ngambil uang pajaknya dikit, nanti akan diselidiki,"" ucapnya.",Berita Valid
KPK Perpanjang Penahanan Bupati Mamberamo Tengah Hingga 20 April,"  Komisi Pemberantasan Korupsi (KPK) memperpanjang masa penahanan Bupati Mamberamo Tengah Ricky Ham Pagawak selama 40 hari, mulai 12 Maret hingga 20 April 2023. Sebelumnya, Ricky telah ditahan KPK sejak 20 Februari di Rutan KPK pada Gedung Merah Putih. ""Tim Penyidik telah memperpanjang masa penahanan tersangka RHP selama 40 hari, terhitung mulai 12 Maret 2023 sampai dengan 20 April 2023 di Rutan KPK,"" ujar Kepala Bagian Pemberitaan KPK Ali Fikri melalui keterangan tertulis, Jumat (10/3). Ali menjelaskan tim penyidik KPK masih mengumpulkan alat bukti dengan menjadwalkan pemeriksaan saksi-saksi. Upaya tersebut termasuk menggeledah lokasi-lokasi yang diduga dapat menerangkan dugaan perbuatan dari tersangka. KPK sebelumnya juga menyatakan membuka peluang memeriksa kembali presenter TV Brigita Purnawati Manohara untuk melengkapi berkas perkara dugaan pencucian uang Ricky. Brigita diduga menerima aliran dana ratusan juta rupiah dan mobil dari Ricky. Uang dan mobil itu telah dikembalikan Brigita kepada KPK. ""Untuk setiap orang atau badan hukum yang menerima aliran dana diduga hasil TPK [Tindak Pidana Korupsi] dalam perkara RHP [Ricky Ham Pagawak], tentu akan kita minta keterangan dalam konteks penanganan TPPU [Tindak Pidana Pencucian Uang],"" ujar Direktur Penyelidikan KPK Asep Guntur kepada CNNIndonesia.com, Selasa (21/2). ""Bagi yang sudah diminta keterangan dan sudah mengembalikan akan kita lihat perannya sebagai apa,"" sambung dia. Asep menambahkan KPK bakal terus mendalami aliran dana yang diduga berasal dari hasil korupsi setelah mendapat keterangan baru dari pemeriksaan Ricky. KPK memproses hukum Ricky atas kasus dugaan suap, gratifikasi, dan pencucian uang senilai Rp200 miliar. Teruntuk suap, Ricky diduga menerima uang dari Marten Toding (Direktur PT Solata Sukses Membangun), Jusieandra Pribadi Pampang (Direktur Utama PT Bumi Abadi Perkasa), dan Simon Pampang (Direktur Utama PT Bina Karya Raya/Komisaris Utama PT Bumi Abadi Perkasa). Suap itu disinyalir terkait dengan pekerjaan proyek infrastruktur di Pemerintah Kabupaten (Pemkab) Mamberamo Tengah. Sedangkan untuk gratifikasi dan pencucian uang, KPK mengaku akan mendalaminya dalam proses penyidikan. Ricky disangkakan melanggar Pasal 12 huruf a atau huruf b atau Pasal 11 dan Pasal 12B Undang-undang Pemberantasan Tindak Pidana Korupsi (UU Tipikor) jo Pasal 3 dan Pasal 4 UU Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang.",Berita Valid
"Risau Nakes Honorer: Kami Dielu-elukan, Lalu Tak Dianggap Lagi","  Ratusan tenaga kesehatan (nakes) dan non-nakes honorer demo di kawasan Patung Kuda, Jakarta Pusat, Kamis (22/9). Mereka menuntut pemerintah agar mengangkat tenaga honorer menjadi Aparatur Sipil Negara (ASN). Isu tenaga honorer di sektor kesehatan telah menjadi masalah menahun yang tak kunjung menemui titik cerah. Pemerintahan silih berganti, namun tuntutan belum juga terpenuhi. CNNIndonesia.com menemui sejumlah honorer nakes maupun non-nakes yang ikut berdemo. Salah satunya Arinta (37) yang bekerja sebagai perawat di salah satu rumah sakit di Kabupaten Tangerang. Perempuan yang telah menjadi tenaga honorer sejak 2008 itu mengeluhkan sikap pemerintah terhadap nakes honorer, bahkan setelah Pandemi Covid-19 melanda Indonesia. Ia menilai pemerintah seolah tidak berkaca dengan peristiwa tersebut sehingga masih tidak memerhatikan kerisauan nakes dan non-nakes akan kesejahteraan. ""Dua tahun kemarin kita berjuang melawan Covid-19, tapi kok masa depan kita enggak diperhatikan. Banyak teman-teman kita yang gugur, lho,"" kata Arinta. ""Awalnya kita begitu dielu-elukan, begitu dibanggakan. Tapi ketika Covid selesai seolah kita enggak dianggap apa-apa lagi,"" lanjutnya. Tenaga kesehatan harus diakui memiliki peran krusial dalam penanganan pandemi Covid-19 di Indonesia. Di dalamnya, terdapat kontribusi nakes dan non-nakes honorer yang ikut menjadi garda terdepan selama pandemi. Di sisi lain, tenaga kesehatan juga menanggung risiko tinggi selama menangani Covid-19. Susanti (39), petugas laboratorium dari sebuah Puskesmas di Kendal, Jawa Barat, bercerita pengalamannya selama pandemi. Ia menjadi salah satu nakes yang harus berhadapan langsung dengan pasien terpapar Covid-19 di tengah keterbatasan fasilitas dan sumber daya manusia. Di sisi lain, hingga kini Susanti mengaku belum mendapat apresiasi yang setimpal dengan pekerjaannya. Ia mengatakan selama ini hanya menerima janji yang tak kunjung dipenuhi. ""Kemarin itu kita pernah juga turun ke desa karena hampir dalam satu RW positif,"" kata Susanti. ""Kita tiap hari itu sampai swab 200 orang, padahal hanya 2 petugas. Kita setiap hari pakai (APD) kayak gitu terus, 'kan bisa dibayangkan seperti apa,"" lanjutnya. Jika ditelusuri ke belakang, para nakes mengaku nasib mereka tidak banyak berubah dari tahun ke tahun. Salah satu cerita diungkapkan Hetta (44), perawat dari satu Puskesmas yang sama dengan Susanti. Ia telah bekerja sebagai tenaga honorer selama hampir 14 tahun, yakni sejak dirinya masih digaji Rp150 ribu. Namun sejak saat itu hingga kini, Hetta mengaku tidak mengalami perubahan signifikan dalam hal kesejahteraan. Padahal, beragam hal telah dilakukan Hetta. Dari ikut aksi demonstrasi lebih dari sekali hingga sekadar pasrah dengan janji-janji pemerintah. ""Dari dulu kita gini-gini aja, hanya dijanjiin sama pemerintah. Saya juga udah ikut demo tiga kali. Itu pun sama, masih dijanj-janjiin,"" kata Hetta. ""Nantinya diangkat lah atau apa lah, gaji juga nanti mau disesuaikan. Tapi nyatanya enggak, sampai sekarang,"" lanjutnya. Kini, Hetta bersama nakes lainnya menuntut pemerintah agar mereka diangkat menjadi ASN. Selain urusan ekonomi, ia mengungkapkan pengangkatan itu adalah bentuk pemerintah mengakui kontribusi nakes dan non-nakes honorer. ""Kalau sudah ASN berarti kita kan sudah diakui sama pemerintah. Berarti tenaga kita juga dihargai, jerih payah kita apalagi selama Covid kemarin, juga dihargai,"" sambungnya. Namun, ihwal pengangkatan ASN hingga Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) juga dinilai membawa persoalan baru. Salah satunya berkaitan dengan tenaga honorer berumur yang sulit bersaing dengan fresh graduate. Hal tersebut turut diungkapkan Edi (40), seorang perawat asal Kuningan yang telah bekerja selama 14 tahun. Edi menganggap dirinya sudah menua bersama pekerjaan karena tak kunjung mengalami peningkatan karier.Keadaan itu kemudian berakibat dengan masalah baru, yakni kesulitan bersaing dengan lulusan baru akibat usia yang tak lagi muda. Ia juga menilai tak semua pekerja honorer di daerah memiliki fasilitas memadai untuk mengikuti tes. ""Kalau yang baru-baru mah, masih fresh secara pendidikan, beda sama kita yang udah 10 tahun 15 tahun. Boro-boro mikir buat pelajaran kayak gitu,"" kata Edi. ""Di daerah juga tidak semuanya kayak di kota gede, ada yang jaringannya enggak bagus atau apa,"" lanjutnya. Edi pun akhirnya hanya mengharapkan jalan pintas dari tangan pemerintah, yakni pengangkatan secara otomatis. Harapan itu juga diutarakan sejumlah nakes lain, terutama yang merasa secara teori tak lagi mampu bersaing dengan anak muda. ""Mudah-mudahan pengangkatan otomatis aja lah, mungkin bagi yang usia 40-45. Banyak sopir ambulans untuk megang pulpen aja harus mikir dua kali,"" pungkas Edi.",Berita Valid
Hadi Tjahjanto Bakal Tindak Kepala BPN Jaktim yang Doyan Pamer Harta,"  Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) Hadi Tjahjanto janji bakal menindak tegas Kepala BPN Jakarta Timur Sudarman Harjasaputra jika terbukti ada ketidakwajaran terkait harta yang dimilikinya. Sudarman kini tengah menjadi sorotan netizen karena gaya hidup mewah dirinya dan keluarga yang viral di media sosial. Bahkan, saat ini ia tengah diselidiki oleh Komisi Pemberantasan Korupsi (KPK). ""Jika benar-benar terbukti ditemukan ketidakwajaran atau penyimpangan, Menteri ATR/Kepala BPN akan segera menindaklanjuti serta tidak akan segan mengambil langkah tegas,"" ujar Kepala Biro Hubungan Masyarakat Kementerian ATR/BPN Yulia Kaya Nirmawati dalam keterangan tertulis pada Jumat (10/3). Menurut Yulia, Hadi telah memberikan arahan agar inspektur jenderal (irjen) dan Kepala Kantor Wilayah BPN Provinsi DKI Jakarta segera memanggil Sudarman untuk dimintai klarifikasi. Hadi pun mempersilakan kepada lembaga berwenang jika ada yang hendak menguji kepatutan dan kewajaran dari harta kekayaan Sudarman. Berdasarkan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN), Sudarman melaporkan total harta kekayaan sebesar Rp14,7 miliar per 2021. Angka itu berasal dari harta Rp15,28 miliar dikurangi utang Rp520 juta. Beberapa harta kekayaannya yaitu tanah dan bangunan di Jakarta Selatan senilai Rp5,3 miliar, tanah dan bangunan di Malang senilai Rp2,6 miliar, tanah di Bogor senilai Rp1,08 miliar, dan tanah di Garut senilai Rp797,5 juta. Sudarman juga memiliki kendaraan mewah, yakni Motor Piaggio Vespa Primavera tahun 2014 senilai Rp18 juta dan Mobil Mazda CX5 Micro/Minibus tahun 2017 seharga Rp420 juta. Ada juga harta bergerak lainnya sebesar Rp600 juta dan kas setara Rp249,5 juta. Gaya hidup mewah pejabat memang tengah menjadi sorotan usai sejumlah mantan pegawai Direktorat Jenderal Pajak dan Bea Cukai Kementerian Keuangan memamerkan hartanya melalui media sosial, di antaranya Rafael Alun Trisambodo dan Eko Darmanto. Keduanya pun kini dicopot dari jabatannya. Presiden Joko Widodo bahkan meminta agar semua pimpinan kementerian/lembaga bisa mendisiplinkan bawahannya, serta membersihkan dan membenahi institusinya masing-masing agar tak terjadi masalah serupa.",Berita Valid
"Daftar Harta Kepala BPN Jaktim yang Tembus Rp14,7 M","  Kepala Badan Pertanahan Nasional (BPN) Jakarta Timur Sudarman Harjasaputra tengah viral di media sosial karena gaya hidup mewah dirinya dan keluarga. Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) Hadi Tjahjanto lantas merespons hal tersebut dan bakal menindak tegas jika terjadi ketidakwajaran terkait harta yang dimiliki Sudarman. Berdasarkan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN), Sudarman melaporkan total harta kekayaan sebesar Rp14,7 miliar per 2021. Angka itu berasal dari harta Rp15,28 miliar kurangi utang Rp520 juta. Beberapa harta kekayaannya yaitu tanah dan bangunan di Jakarta Selatan senilai Rp5,3 miliar, tanah dan bangunan di Malang senilai Rp2,6 miliar, tanah di Bogor senilai Rp1,08 miliar, dan tanah di Garut senilai Rp797,5 juta. Berikut daftar harta kekayaan Sudarman Harjasaputra: HARTA Rp15,28 Miliar A. Tanah dan bangunan senilai Rp13,9 miliar 1. Tanah dan dan bangunan seluas 387 m2/250 m2 di Kab/Kota Jakarta Selatan, hasil sendiri Rp5.393.960.000 2. Tanah seluas 50000 m2 di Kab/ Kota Ciamis, hasil sendiri Rp526.240.000 3. Tanah dan bangunan seluas 170 m2/110 m2 di Kab/Kota Malang, warisan Rp2.644.356.000 4. Tanah seluas 1000 m2 di Kab/Kota Ciamis, hibah tanpa akta Rp328.900.000 5. Tanah seluas 500 m2 di Kab/Kota Ciamis, hibah tanpa akta Rp.588.500.000 6. Tanah seluas 6587 m2 di Kab/Kota Bogor, hasil sendiri Rp1.086.855.000 7. Tanah dan bangunan seluas 297 m2/297 m2 di Kab/Kota Tangerang Selatan, hibah tanpa akta Rp2.631.200.000 8. Tanah seluas 90000 m2 di Kab/Kota Garut, lainnya Rp797.500.000. B. Alat transportasi dan mesin Rp438 juta 1. Motor, Piagio Vespa Primavera tahun 2014, hasil sendiri Rp18.000.000 2. Mobil, Mazda CX5 Micro/Minibus tahun 2017, hasil sendiri Rp.420.000.000 C. Harta bergerak lainnya Rp600.000.000 D. Kas dan setara kas Rp249.526.598 UTANG Rp520.000.000 TOTAL HARTA BERSIH Rp14.765.037.598",Berita Valid
"5 Kandidat Juara MotoGP 2023, Nomor 1 Sudah Juara Dunia 6 Kali!","SEBANYAK 5 kandidat juara MotoGP 2023 akan dibahas Okezone pada artikel ini. Pagelaran MotoGP 2023 akan dimulai pada akhir bulan ini, Sirkuit Internasional Algarve di Portugal akan menjadi seri pertama bagi para pembalap MotoGP 2023. Jelang berlangsungnya MotoGP Portugal di Sirkuit Internasional Algarve, banyak pihak kini mulai mengeluarkan prediksinya tentang siapa yang akan menjadi juara MotoGP 2023. Beberapa nama sudah mencicipi gelar juara dunia, dan yang lainnya diyakini berpotensi untuk bersaing di tangga juara.Berikut 5 Kandidat Juara MotoGP 2023: 5. Francesco Bagnaia Sang juara bertahan MotoGP tentu masuk dalam perhitungan. Keberhasilan Francesco Bagnaia di MotoGP 2022 bukanlah kebetulan, pembalap berusia 26 tahun ini memiliki kualitas untuk bersaing kembali di tangga juara. Ducati sendiri sudah menyatakan bahwa Francesco Bagnaia akan kembali bersaing di MotoGP 2023, mereka siap memberikan yang terbaik bagi sang pembalap untuk mempertahankan gelar juara yang didapatnya. Pada MotoGP 2022, Francesco Bagnaia menjadi juara dunia setelah memenangkan 7 gelar juara. 4. Fabio Quartararo Fabio Quartararo masih menjadi salah satu favorit untuk memenangkan gelar juara dunia di MotoGP 2023. Pada musim lalu, pembalap asal Prancis ini juga bersaing di tangga juara dunia, namun, kalah saing dari Francesco Bagnaia. Mengingat Fabio Quartararo masih menjadi andalan utama Yamaha untuk menjadi juara dunia, pabrikan asal Jepang itu tentu akan memberikan yang terbaik untuk membantunya menjadi juara dunia lagi. Perlu diketahui, Fabio Quartararo merupakan juara dunia MotoGP edisi 2021.",Berita Valid
