judul,narasi,label
Pemerintah Menggratiskan Listrik Seluruh Indonesia Mulai Hari Ini,"Dalam pengumuman yang mengejutkan, pemerintah diklaim akan menggratiskan penggunaan listrik untuk semua rumah tangga di Indonesia. Langkah ini disebut sebagai bagian dari program bantuan pandemi.",Berita Palsu
NASA Umumkan Penemuan Kehidupan di Mars Setelah Eksperimen Terbaru,"Berita yang menghebohkan dunia sains, NASA dikatakan telah menemukan bukti kehidupan di Mars berdasarkan eksperimen terbaru mereka dengan rover Perseverance.",Berita Palsu
Hewan Peliharaan Anda Diam-Diam Memata-Matai Anda untuk Pemerintah,Sebuah teori baru menyebutkan bahwa hewan peliharaan seperti kucing dan anjing sebenarnya dipasangi alat pemantauan oleh pemerintah untuk mengawasi perilaku pemiliknya.,Berita Palsu
Kejadian Aneh: Sungai di Sumatera Berubah Menjadi Emas,Penduduk setempat melaporkan fenomena luar biasa di mana air sungai di Sumatera berubah menjadi emas. Para ahli belum memberikan penjelasan resmi tentang fenomena ini.,Berita Palsu
"Kimia Farma Bagikan Hadiah Uang Tunai Rp 2 Juta, Cek Link di Sini",Pesan berantai di media sosial menyebutkan bahwa Kimia Farma sedang membagikan hadiah uang tunai sebesar Rp 2 juta untuk semua peserta yang mengisi survei melalui tautan tertentu.,Berita Palsu
Air Minum Dalam Kemasan Ternyata Mengandung Zat yang Bisa Menyebabkan Kanker,"Menurut laporan tidak resmi, air minum dalam kemasan dari berbagai merek terkenal mengandung zat kimia berbahaya yang diduga dapat meningkatkan risiko kanker.",Berita Palsu
Restoran Ini Menawarkan Makanan Gratis Tapi Ada Rahasia Besar di Baliknya,"Sebuah restoran di Jakarta dikabarkan memberikan makanan gratis kepada semua pelanggan, namun kabar menyebutkan ada tujuan tersembunyi di balik kebaikan ini.",Berita Palsu
Vaksin COVID-19 Mengandung Microchip untuk Mengontrol Pikiran Manusia,Teori konspirasi yang kembali mencuat menyatakan bahwa vaksin COVID-19 mengandung microchip rahasia yang akan digunakan untuk mengendalikan pikiran manusia secara global.,Berita Palsu
Ilmuwan Temukan Formula Obat yang Membuat Manusia Hidup 200 Tahun,"Dalam klaim yang kontroversial, sekelompok ilmuwan dikatakan telah menemukan formula obat yang memungkinkan manusia hidup hingga 200 tahun tanpa penuaan.",Berita Palsu
Organisasi Rahasia Akan Mengontrol Dunia dengan Teknologi Baru,Kabar tentang organisasi rahasia yang akan menguasai dunia muncul kembali. Mereka disebut-sebut memiliki teknologi canggih untuk mengendalikan seluruh umat manusia.,Berita Palsu
"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi Ikhlas",Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014,Berita Palsu
Kronologis Polisi Berondong Sedan Terobos Razia di Lubuklinggau,"Innalillah… Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas",Berita Palsu
Kemristekdikti: bukan undang dosen asing tapi profesor kelas dunia,"”Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel,” kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa",Berita Palsu
Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada DKI Jakarta,"Pengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12 – 13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00 – 13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you",Berita Palsu
Bahaya Daging Kurban Dibungkus Kresek Hitam,"Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.",Berita Palsu
Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Maruf Amin,Truk semi kontainer Paslon 01 ini kira-kira membawa apa,Berita Palsu
